id;date;tbgr;grade;lotno;weight;price
1;2021-07-31T14:17:24;8199;Pants Frozen;45401;8551;6917
2;2021-08-01T05:27:47;58547;of overriding;19773;68546;37028
3;2021-07-31T13:02:58;40898;and;43260;82748;30827
4;2021-07-31T16:47:04;33361;Nebraska copying;32456;51219;55893
5;2021-07-31T20:48:02;98653;syndicate Developer;62264;12631;2366
6;2021-07-31T20:39:58;80922;index models alarm;41946;78402;1041
7;2021-07-31T12:22:49;56967;Gorgeous Miquelon;40720;66911;98358
8;2021-08-01T04:53:35;98768;Korean systems engine;73293;57219;54865
9;2021-07-31T20:39:10;68021;reboot Generic XML;90085;91673;41649
10;2021-08-01T05:08:06;78914;system streamline;31810;8779;59169
