id;board;village;tbgr;name
1;Mexico;dedicated;53382;array Steel
2;hack mobile Movies;Awesome;52622;world-class Home Plains
3;Internal;Soft Central;78008;Shoal
4;Technician;Granite Automated;61262;Cambridgeshire Rustic
5;azure withdrawal deposit;XSS Buckinghamshire Island;76760;Rubber Loan
6;Orchestrator Antilles;Account;95650;hack bleeding-edge
7;schemas Camp open;gold bypass haptic;15166;Sleek California
8;overriding software Kwanza;online Awesome Mandatory;7302;Highway Paraguay
9;USB South Personal;Fresh knowledge Savings;27439;withdrawal attitude
10;virtual Metal Croatian;program Cambridgeshire Practical;5775;Liaison
